tree,K,distribution,iteration,size,insert,lookup,remove
16std::set,16,cluster,9,8192,69.4214,32.39,61.5723
16std::set,16,cluster,9,16384,70.5139,60.15,62.146
32std::set,32,uniform,0,32,265.625,26.15,196.875
32std::set,32,uniform,0,64,159.375,32.06,157.812
32std::set,32,uniform,0,128,196.094,39.64,138.281
32std::set,32,uniform,0,256,123.438,47.2,131.25
32std::set,32,uniform,0,512,121.289,56.15,127.734
32std::set,32,uniform,0,1024,124.414,66.81,131.348
32std::set,32,uniform,0,2048,130.225,80.5,134.619
32std::set,32,uniform,0,4096,141.772,94.27,145.142
32std::set,32,uniform,0,8192,157.69,125.42,160.461
32std::set,32,uniform,0,16384,186.993,159.43,196.442
32std::set,32,uniform,0,32768,188.15,167.38,203.43
32std::set,32,uniform,0,65536,185.539,163.12,205.948
32std::set,32,uniform,0,131072,246.444,258.4,239.802
32std::set,32,uniform,0,262144,319.691,356.28,325.196
32std::set,32,uniform,0,524288,422.743,495.58,459.274
32std::set,32,uniform,0,1048576,560.18,657.45,616.438
32std::set,32,uniform,0,2097152,715.023,810.42,781.243
32std::set,32,uniform,0,4194304,856.081,963.7,945.076
32std::set,32,uniform,0,8388608,1037.54,1095.15,1149
32std::set,32,uniform,1,32,221.875,21.75,153.125
32std::set,32,uniform,1,64,162.5,27.08,137.5
32std::set,32,uniform,1,128,112.5,31.78,105.469
32std::set,32,uniform,1,256,120.312,36.35,96.875
32std::set,32,uniform,1,512,202.93,61.67,94.5312
32std::set,32,uniform,1,1024,95.7031,53.28,167.773
32std::set,32,uniform,1,2048,165.918,58.39,125.684
32std::set,32,uniform,1,4096,104.053,81.86,119.385
32std::set,32,uniform,1,8192,130.945,92.54,127.295
32std::set,32,uniform,1,16384,153.638,142.18,161.066
32std::set,32,uniform,1,32768,200.333,157.75,181.638
32std::set,32,uniform,1,65536,259.143,259.39,267.583
32std::set,32,uniform,1,131072,352.816,438.52,346.291
32std::set,32,uniform,1,262144,447.501,471.08,413.319
32std::set,32,uniform,1,524288,530.356,608.28,560.856
32std::set,32,uniform,1,1048576,637.508,762.81,651.716
32std::set,32,uniform,1,2097152,746.249,785.75,808.755
32std::set,32,uniform,1,4194304,878.344,977.24,1042.39
32std::set,32,uniform,1,8388608,1113.51,1229.03,1209.87
32std::set,32,uniform,2,32,325,21.85,200
32std::set,32,uniform,2,64,121.875,25.14,123.438
32std::set,32,uniform,2,128,104.688,38.86,100.781
32std::set,32,uniform,2,256,167.188,37.91,95.7031
32std::set,32,uniform,2,512,88.2812,42.26,124.023
32std::set,32,uniform,2,1024,104.199,49.78,97.6562
32std::set,32,uniform,2,2048,97.3633,61.31,100.195
32std::set,32,uniform,2,4096,106.03,72.61,108.667
32std::set,32,uniform,2,8192,117.651,96.96,120.361
32std::set,32,uniform,2,16384,137.988,125.06,156.653
32std::set,32,uniform,2,32768,167.395,157.7,175.177
32std::set,32,uniform,2,65536,222.67,228.72,241.724
32std::set,32,uniform,2,131072,305.025,367.4,281.921
32std::set,32,uniform,2,262144,403.909,388.33,436.882
32std::set,32,uniform,2,524288,518.59,625.47,563.445
32std::set,32,uniform,2,1048576,649.682,761.51,709.463
32std::set,32,uniform,2,2097152,777.174,891.79,879.367
32std::set,32,uniform,2,4194304,933.019,1045.97,1052.34
32std::set,32,uniform,2,8388608,1103.04,1468.09,1202.51
32std::set,32,uniform,3,32,253.125,20.35,153.125
32std::set,32,uniform,3,64,162.5,31.95,129.688
32std::set,32,uniform,3,128,109.375,46.82,210.156
32std::set,32,uniform,3,256,214.453,46.49,145.703
32std::set,32,uniform,3,512,117.773,43.33,92.1875
32std::set,32,uniform,3,1024,104.59,50.65,128.223
32std::set,32,uniform,3,2048,103.418,60.53,99.6094
32std::set,32,uniform,3,4096,115.405,86.32,135.913
32std::set,32,uniform,3,8192,139.246,96.11,119.238
32std::set,32,uniform,3,16384,147.711,119.48,156.873
32std::set,32,uniform,3,32768,172.028,165.19,198.761
32std::set,32,uniform,3,65536,233.011,207.83,242.412
32std::set,32,uniform,3,131072,309.647,369.05,313.113
32std::set,32,uniform,3,262144,442.378,501.02,434.101
32std::set,32,uniform,3,524288,531.604,494.2,453.791
32std::set,32,uniform,3,1048576,554.894,680.91,637.355
32std::set,32,uniform,3,2097152,726.365,788,789.836
32std::set,32,uniform,3,4194304,859.141,962.33,949.433
32std::set,32,uniform,3,8388608,1010.28,1127.93,1110.19
32std::set,32,uniform,4,32,256.25,23.53,609.375
32std::set,32,uniform,4,64,156.25,29.89,140.625
32std::set,32,uniform,4,128,160.938,37.41,129.688
32std::set,32,uniform,4,256,137.5,45.7,126.562
32std::set,32,uniform,4,512,116.602,54.55,125.977
32std::set,32,uniform,4,1024,120.41,65.61,121.875
32std::set,32,uniform,4,2048,122.51,73.7,123.145
32std::set,32,uniform,4,4096,126.611,84.78,127.905
32std::set,32,uniform,4,8192,131.189,100.11,131.494
32std::set,32,uniform,4,16384,139.661,163.54,158.777
32std::set,32,uniform,4,32768,161.676,143.56,182.217
32std::set,32,uniform,4,65536,181.134,156.55,209.138
32std::set,32,uniform,4,131072,222.369,205.23,232.613
32std::set,32,uniform,4,262144,309.534,384.74,319.086
32std::set,32,uniform,4,524288,413.788,564.33,453.037
32std::set,32,uniform,4,1048576,555.041,669.57,613.991
32std::set,32,uniform,4,2097152,709.871,816.74,782.274
32std::set,32,uniform,4,4194304,852.274,946.04,946.687
32std::set,32,uniform,4,8388608,1010.81,1144.04,1114.48
32std::set,32,uniform,5,32,259.375,26.32,190.625
32std::set,32,uniform,5,64,162.5,32.13,150
32std::set,32,uniform,5,128,141.406,39.58,133.594
32std::set,32,uniform,5,256,126.172,47.73,124.219
32std::set,32,uniform,5,512,117.578,54.37,125.195
32std::set,32,uniform,5,1024,120.312,65.53,123.828
32std::set,32,uniform,5,2048,130.127,74.87,130.811
32std::set,32,uniform,5,4096,125.928,84.53,129.883
32std::set,32,uniform,5,8192,133.606,102.66,134.534
32std::set,32,uniform,5,16384,151.355,121.59,143.652
32std::set,32,uniform,5,32768,160.44,142.47,188.559
32std::set,32,uniform,5,65536,181.711,271.4,194.583
32std::set,32,uniform,5,131072,218.075,230.51,224.17
32std::set,32,uniform,5,262144,317.183,368.97,331.416
32std::set,32,uniform,5,524288,412.699,502.93,455.275
32std::set,32,uniform,5,1048576,547.667,654.28,614.696
32std::set,32,uniform,5,2097152,712.671,820.15,778.92
32std::set,32,uniform,5,4194304,851.988,969.62,944.004
32std::set,32,uniform,5,8388608,1006.54,1106.39,1105.15
32std::set,32,uniform,6,32,284.375,25.65,200
